"Z_FieldDescr_Id","OrderID","model","Module","fieldUseGroup","TableName","FieldName","Nulls","dataType","FieldSize","key","References","ClosedList","FieldNotes","FieldDefinition","FieldDefn_old","DestinationField","DestFieldID","exportToXLS","privateNotes","DenormTransl","RecordsNotNull","PercentNotNull","CheckedAt","FldInUse","DescrOfTbl","example1","example2","example3","example4","exampleComments","relType","relName","xmlExportSkip"
150,,"logical","Loading",1.00,"z_USER_C_plotData","confidentialityReason","yes","text",200,"n/a","n/a","no","n/a","The reason for confidentiality.  This field is not be open to public view once plots are in VegBank.  Reasons might include specific rare species, ownership, prepublication embargo, or many other reasons.","The reason for confidentiality.  This field should not be open to public view.  Reasons might include specific rare species, ownership, prepublication embargo, or many other reason","plot.confidentialityReason",6437,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"no sensitive data","private land owner","endangered species","endangered species",,,,0
151,,"logical","Loading",2.00,"z_USER_C_plotData","authorE","yes","text",20,"n/a","n/a","no","n/a","Original E-W coordinate as recorded by the author","Original E-W coordinate as recorded by the author","plot.authorE",6440,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"400055",,,,,,,0
152,,"logical","Loading",2.00,"z_USER_C_plotData","authorN","yes","text",20,"n/a","n/a","no","n/a","Original N-S coordinate as recorded by the author","Original N-S coordinate as recorded by the author","plot.authorN",6441,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"4182350",,,,,,,0
153,,"logical","Loading",2.00,"z_USER_C_plotData","authorZone","yes","text",20,"n/a","n/a","no","n/a","Original UTM zone reported by the author","Original UTM zone reported by the author","plot.authorZone",6442,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"14",,,,,,,0
154,,"logical","Loading",2.00,"z_USER_C_plotData","authorDatum","yes","text",20,"n/a","n/a","no","n/a","Original datum reported by the author","Original datum reported by the author","plot.authorDatum",6443,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"NAD-27",,,,,,,0
155,,"logical","Loading",2.00,"z_USER_C_plotData","authorLocation","yes","text",200,"n/a","n/a","no","n/a","Original location as described by author (e.g. Town-Range-Section)","Original location as described by author (eg Town-Range-Section)","plot.authorLocation",6444,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"Ridge N. of Arkansas River",,,,,,,0
156,,"logical","Loading",2.00,"z_USER_C_plotData","locationNarrative","yes","Memo",0,"n/a","n/a","no","n/a","Text description that provides information useful for plot relocation.","Text description that provides information useful for plot relocation.","plot.locationNarrative",6445,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"Go to end of XXX St., then proceed north along trail for 200m.  Plot is 35m...",,,,,,,0
157,,"logical","Loading",2.00,"z_USER_C_plotData","azimuth","yes","Double",8,"n/a","n/a","no","n/a","This element stores the azimuth of the x-axis used to describe the relative coordinate system for plot shape (dsgpoly) and other spatial information about the plot. Typically the azimuth is parallel to the long axis of the plot (in the case of a rectangle).","This element stores the azimuth of the x-axis used to describe the relative coordinate system for plot shape (dsgpoly) and other spatial information about the plot. Typically the azimuth is parallel to the long axis of the plot (in the case of a rectangle","plot.azimuth",6446,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"142",,,,,,,0
158,,"logical","Loading",3.00,"z_USER_C_plotData","dsgpoly","yes","Memo",,"n/a","n/a","no","n/a","This field is a text string containing the points circumscribing a plot area.  These points are anticipated to have been collected using tapes, GPS, or calculated from the plot shape and area. Points are x-y coordinates in m relative to plot origin.","This field is a text string containing the points circumscribing a plot area.  These points are anticipated to have been collected using tapes, GPS, or calculated from the plot shape and area. Points are x-y coordinates in m relative to plot origin.","plot.dsgpoly",6447,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"(0,10),(10,10),(10,0),(0,0)",,,,,,,0
159,,"logical","Loading",2.00,"z_USER_C_plotData","shape","yes","text",50,"n/a","n/a","open","open list","Shape of the plot area.","Shape of the plot area.","plot.shape",6448,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"square",,,,,,,0
160,,"logical","Loading",1.50,"z_USER_C_plotData","area","yes","Double",8,"n/a","n/a","no","n/a","Total area of the plot in m2.  If many subplots, this area includes the subplots and the intersticial space.","Total area of the plot in m2.  If many subplots, this area includes the subplots and the intersticial space","plot.area",6449,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"100",,,,,,,0
161,,"logical","Loading",2.00,"z_USER_C_plotData","standSize","yes","Text",50,"n/a","n/a","yes","closed list","The extent of this community occurrence in relation to the plot size: see list of values.","The extent of this community occurrence in relation to the plot size: very extensive (>1000x plot), extensive (>100x plot), large (10-100x plot), small (3-10x plot), very small (1-3x plot).","plot.standSize",6450,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"very large",,,,,,,0
162,,"logical","Loading",2.00,"z_USER_C_plotData","placementMethod","yes","text",50,"n/a","n/a","yes","closed list","Brief description of strategy for determining plot placement within the stand.","Brief description of strategy for determining plot placement within the stand.","plot.placementMethod",6451,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"random",,,,,,,0
163,,"logical","Loading",1.50,"z_USER_C_plotData","permanence","yes","text",50,"n/a","n/a","Bool","Boolean destination field","Is the plot monumented so as to assure permanence?  If so, this should be described in the layoutNarrative","Is the plot monumented so as to assure permanence?  If so, this should be described in the layoutNarrative","plot.permanence",6452,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"no",,,,,,,0
164,,"logical","Loading",2.00,"z_USER_C_plotData","layoutNarrative","yes","Memo",0,"n/a","n/a","no","n/a","Text description of and the rationale for the layout of the plot.","Text description of and the rationale for the layout of the plot.","plot.layoutNarrative",6679,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"chose a square plot that resulted from a random azimuth selection",,,,,,,0
165,,"logical","Loading",2.00,"z_USER_C_plotData","elevation","yes","Double",8,"n/a","n/a","no","n/a","The elevation of the plot origin in meters above sea level.","The elevation of the plot origin in meters above sea level.","plot.elevation",6454,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"2642",,,,,,,0
166,,"logical","Loading",3.00,"z_USER_C_plotData","elevationAccuracy","yes","Double",8,"n/a","n/a","no","n/a","The accuracy of the elevation in percentage of the elevation reported.","The accuracy of the elevation in percentage of the elevation reported.","plot.elevationAccuracy",6455,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"5",,,,,,,0
167,,"logical","Loading",3.00,"z_USER_C_plotData","elevationRange","yes","Double",8,"n/a","n/a","no","n/a","Meters of difference in elevations of the high and low points in the plot.","Meters of difference in elevations of the high and low points in the plot.","plot.elevationRange",6456,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"1",,,,,,,0
168,,"logical","Loading",2.00,"z_USER_C_plotData","slopeAspect","yes","Double",8,"n/a","n/a","no","optional list that converts","Representative azimuth of slope gradient (0-360 degrees); if too flat to determine = -1; if too irregular to determine = -2.","Representative azimuth of slope gradient (0-360 degrees); if too flat to determine = -1; if too irregular to determine = -2.","plot.slopeAspect",6457,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"130",,,,,,,0
169,,"logical","Loading",3.00,"z_USER_C_plotData","minSlopeAspect","yes","Double",8,"n/a","n/a","no","optional list that converts","Minimum azimuth of slope gradient (0-360 degrees), counterclockwise from representative azmuth.","Minimum azimuth of slope gradient (0-360 degrees), counterclockwise from representative azmuth.","plot.minSlopeAspect",6458,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"4",,,,,,,0
170,,"logical","Loading",3.00,"z_USER_C_plotData","maxSlopeAspect","yes","Double",8,"n/a","n/a","no","optional list that converts","Maximum azimuth of slope gradient (0-360 degrees), clockwise from representative azmuth","Maximum azimuth of slope gradient (0-360 degrees), clockwise from representative azmuth","plot.maxSlopeAspect",6459,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"18",,,,,,,0
171,,"logical","Loading",2.00,"z_USER_C_plotData","slopeGradient","yes","Double",8,"n/a","n/a","no","optional list that converts","Representative inclination of slope in degrees; if too irregular to determine, = -1.","Representative inclination of slope in degrees; if too irregular to determine, = -1.","plot.slopeGradient",6460,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"3.5",,,,,,,0
172,,"logical","Loading",3.00,"z_USER_C_plotData","minSlopeGradient","yes","Double",8,"n/a","n/a","no","optional list that converts","Minimum inclindation of slope in degrees.","Minimum inclindation of slope in degrees.","plot.minSlopeGradient",6461,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"2",,,,,,,0
173,,"logical","Loading",3.00,"z_USER_C_plotData","maxSlopeGradient","yes","Double",8,"n/a","n/a","no","optional list that converts","Maximum inclination of slope in degrees.","Maximum inclination of slope in degrees.","plot.maxSlopeGradient",6462,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"4.5",,,,,,,0
174,,"logical","Loading",2.00,"z_USER_C_plotData","topoPosition","yes","text",100,"n/a","n/a","yes","closed list","Position of the plot on land surface (e.g., Summit, shoulder, upper slope, middle slope, lower slope, toeslope, no slope, channel bed, dune swale, pond).","Position of the plot on land surface (e.g., Summit, shoulder, upper slope, middle slope, lower slope, toeslope, no slope, channel bed, dune swale, pond).","plot.topoPosition",6463,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"high level",,,,,,,0
176,,"logical","Loading",2.00,"z_USER_C_plotData","landform","yes","text",50,"n/a","n/a","yes","closed list","Landform type.","Landform type.","plot.landform",6464,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"bald",,,,,,,0
178,,"logical","Loading",2.00,"z_USER_C_plotData","rockType","yes","text",90,"n/a","n/a","yes","n/a","RockType values conform to the lithic types in the FGDC Soil Geographic Data Standards, September 1997. http://www.fgdc.gov/standards/documents/standards/soils/soil997.PDF (pages 56-59).",,"plot.rockType",6466,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,,,,,,,,0
181,249.00,"logical","Loading",3.00,"z_USER_C_plotData","soilTaxonSrc","yes","text",200,"n/a","n/a","yes","closed list","How was the soil taxon determined (e.g., field observation, map,  other sources)?","How was the soil taxon determined (e.g., field observation, map,  other sources)?","observation.soilTaxonSrc",6418,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"soil map",,,,,,,0
184,,"logical","Loading",3.00,"z_USER_C_plotData","authorObsCode","yes","text",50,"n/a","n/a","no","n/a","This is the code or name that the author uses to identify this plot observation event. Where a plot has only one observation, this will often equal plot.authorPlotCode.",,"observation.authorObsCode",6356,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,,,"GARI044-2",,"GARI044-2 is the unique observation separate code for plot GARI044.  It has a previous observation of GARI044-1 (observation code).  For this record in the loading table, no plot will be added, but just an observation.  All fields that appear before authorObsCode will not be added to the VegBank module upon migration.  These are plot fields that are already listed for the plot that GARI044-1 belongs to.",,,0
185,,"logical","Loading",3.00,"z_USER_C_plotData","PrevObsAuthPlotCode","yes","text",50,"n/a","n/a","no","n/a","Code that refers to the AuthorObsCode of the previous observation, if there is one.","Code that refers to the AuthorObsCode (=AuthorPlotCode) of the previous observation.","n/a",,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,,,"GARI044-1",,,,,0
187,,"logical","Loading",4.00,"z_USER_C_plotData","project","yes","text",80,"n/a","n/a","no","n/a","Name of the project that this observation belongs to.  Will be translated to an extant project in the VegBranch translation step.  If left blank, the project name specified in the metadata step will be used as the project for this plot.","---","observation.PROJECT_ID",6355,1,,1,0,-900.00,1/17/2005 16:54:17,1,0,,,,,,,,0
190,,"logical","Loading",1.50,"z_USER_C_plotData","obsStartDate","yes","Date/Time",8,"n/a","n/a","no","default = current year","The date of the observation, or the first day if the observation spanned more than one day.","The date of the observation, or the first day if the observation spanned more than one day.","observation.obsStartDate",6357,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"2/5/2002",,"2/7/2003",,,,,0
191,,"logical","Loading",3.00,"z_USER_C_plotData","obsEndDate","yes","Date/Time",8,"n/a","n/a","no","n/a","If the observation event spanned more than a single day, this is the last day on which observations were made.","If the observation event spanned more than a single day, this is the last day on which observations were made.","observation.obsEndDate",6358,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"2/5/2002",,"2/8/2003",,,,,0
192,,"logical","Loading",3.00,"z_USER_C_plotData","dateAccuracy","yes","text",30,"n/a","n/a","yes","closed list","Estimated accuracy of the observation date.","Estimated accuracy of the observation date.","observation.dateAccuracy",6359,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"exact",,"exact",,,,,0
193,,"logical","Loading",3.00,"z_USER_C_plotData","stemSizeLimit","yes","Double",,"n/a","n/a","no","n/a","Lower diameter limit in centimeters for inclusion of a tree in the stem count (stemCount).","Lower diameter limit in centimeters for inclusion of a tree in the stem count (stemCount).","observation.stemSizeLimit",6362,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"1",,,,,,,0
194,,"logical","Loading",2.00,"z_USER_C_plotData","methodNarrative","yes","Memo",,"n/a","n/a","no","n/a","Additional metadata helpful for understanding how the data were collected during the observation event.","Additional metadata helpful for understanding how the data were collected during the observation event.","observation.methodNarrative",6363,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"We used the Smith-Peterson method to gather...",,,,,,,0
195,,"logical","Loading",1.50,"z_USER_C_plotData","taxonObservationArea","yes","Double",8,"n/a","n/a","no","default = plot.area","The total surface area (in m2) used for cover estimates and for which a complete species list is provided.  If subplots were used, this would be the total area of the subplots without intersticial space.","the total surface area (in m2) used for cover estimates and for which a complete species list is provided.  If subplots were used, this would be the total area of the subplots without intersticial space.","observation.taxonObservationArea",6364,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"50",,,,,,,0
196,,"logical","Loading",2.00,"z_USER_C_plotData","coverDispersion","yes","text",30,"n/a","n/a","yes","closed list; default = contiguous","Were cover values for the total taxon list collected from one contiguous area or dispersed subplots (e.g., continguous, dispersed-regular, dispered-random)?","Were cover values for the total taxon list collected from one contiguous area or dispersed subplots (e.g., continguous, dispersed-regular, dispered-random)?","observation.coverDispersion",6365,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"dispersed-random",,,,,,,0
197,,"logical","Loading",3.00,"z_USER_C_plotData","autoTaxonCover","yes","text",50,"n/a","n/a","Bool","Boolean destination field","TRUE indicates that the overall cover value for a taxon was not observed, but rather calculated from the cover values in one or more strata.","TRUE indicates that taxonObservation.taxonCover was automatically calculated from the values of all stratumObservation.taxonStratumCover","observation.autoTaxonCover",6366,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"false",,,,,,,0
198,,"logical","Loading",3.00,"z_USER_C_plotData","stemObservationArea","yes","Double",8,"n/a","n/a","no","default = plot.area","The total surface area (in m2) observed for recording woody stem data.","the total surface area (in m2) observed for recording woody stem data","observation.stemObservationArea",6367,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"50",,,,,,,0
199,,"logical","Loading",3.00,"z_USER_C_plotData","stemSampleMethod","yes","text",30,"n/a","n/a","yes","closed list; default = full census","The method used to obtain basal area or tree stem data (e.g., full census, point quarter, random pairs, Bitterlich, other).","The method used to obtain basal area or tree stem data (e.g., full census, point quarter, random pairs, Bitterlich, other).","observation.stemSampleMethod",6368,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"random pairs",,,,,,,0
200,,"logical","Loading",2.00,"z_USER_C_plotData","originalData","yes","Memo",,"n/a","n/a","no","n/a","Location where the hard data reside and any access instructions.","Location where the hard data reside and any access instructions.","observation.originalData",6369,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"U. Kalazona Plant Ecology Lab",,,,,,,0
201,,"logical","Loading",2.00,"z_USER_C_plotData","effortLevel","yes","text",30,"n/a","n/a","yes","closed list","This is the effort spent making the observations as estimated by the party that submitted the data (e.g., Very thorough, Average, Hurried description).","This is the effort spent making the observations as estimated by the party that submitted the data (e.g., Very thorough, Average, Hurried description).","observation.effortLevel",6370,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"accurate",,,,,,,0
203,,"logical","Loading",2.00,"z_USER_C_plotData","floristicQuality","yes","text",30,"n/a","n/a","yes","closed list","Subjective assessment of floristic quality by the party that submitted the plot (e.g., Highest, High, High but incomplete, Moderate, Moderate and incomplete, Low).","Subjective assessment of floristic quality by the party that submitted the plot (e.g., Highest, High, High but incomplete, Moderate, Moderate and incomplete, Low).","observation.floristicQuality",6372,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"high but incomplete",,,,,,,0
204,,"logical","Loading",2.00,"z_USER_C_plotData","bryophyteQuality","yes","text",30,"n/a","n/a","yes","closed list","Subjective assessment of the taxonmic quality of the bryophye data by the party that submitted the plot (e.g., Highest, High, High but incomplete, Moderate, Moderate and incomplete, Low, Very incomplete,absent).","Subjective assessment of the taxonmic quality of the bryophye data by the party that submitted the plot (e.g., Highest, High, High but incomplete, Moderate, Moderate and incomplete, Low, Very incomplete,absent).","observation.bryophyteQuality",6373,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"moderate",,,,,,,0
205,,"logical","Loading",2.00,"z_USER_C_plotData","lichenQuality","yes","text",30,"n/a","n/a","yes","closed list","Subjective assessment of the taxonmic quality of the lichen data by the party that submitted the plot (e.g., Highest, High, High but incomplete, Moderate, Moderate and incomplete, Low, Very incomplete,absent).","Subjective assessment of the taxonmic quality of the lichen data by the party that submitted the plot (e.g., Highest, High, High but incomplete, Moderate, Moderate and incomplete, Low, Very incomplete,absent).","observation.lichenQuality",6374,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"low",,,,,,,0
206,,"logical","Loading",2.00,"z_USER_C_plotData","observationNarrative","yes","Memo",,"n/a","n/a","no","n/a","Additional unstructured observations useful for understanding the ecological attributes and significance of the plot observations.","Additional unstructured observations useful for understanding the ecological attributes and significance of the plot observations.","observation.observationNarrative",6375,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"This site was particularly unusual for this area in that...",,,,,,,0
207,,"logical","Loading",2.00,"z_USER_C_plotData","landscapeNarrative","yes","Memo",,"n/a","n/a","no","n/a","Unstructured observations on the landscape context of the observed plot.","Unstructured observations on the landscape context of the observed plot.","observation.landscapeNarrative",6376,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"Unusually hilly for this region.",,,,,,,0
208,,"logical","Loading",2.00,"z_USER_C_plotData","homogeneity","yes","Text",50,"n/a","n/a","yes","closed list","How homogeneous was the community (e.g., homogeneous, compositionial trend across plot, conspicuous inclusions, irregular mosaic or pattern).","How homogeneous was the community (e.g., homogeneous, compositionial trend across plot, conspicuous inclusions, irregular mosaic or pattern).","observation.homogeneity",6377,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"conspicuous inclusions",,,,,,,0
209,,"logical","Loading",2.00,"z_USER_C_plotData","phenologicAspect","yes","text",30,"n/a","n/a","yes","closed list","Season expression of the community (e.g., typical growing season, vernal, aestival, wet, autumnal, winter, dry, irregular ephemerals present).","Season expression of the community (e.g., typical growing season, vernal, aestival, wet, autumnal, winter, dry, irregular ephemerals present).","observation.phenologicAspect",6378,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"winter",,,,,,,0
210,,"logical","Loading",2.00,"z_USER_C_plotData","representativeness","yes","text",100,"n/a","n/a","yes","closed list","How representative was the plot of the stand?","How representative was the plot of the stand?","observation.representativeness",6379,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"plot is quite representative of surrounding stand",,,,,,,0
211,,"logical","Loading",3.00,"z_USER_C_plotData","basalArea","yes","Double",8,"n/a","n/a","no","n/a","Total basal area of woody stems (in m2/ha).","Total basal area of woody stems (in m2/ha).","observation.basalArea",6380,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"12.148",,,,,,,0
212,,"logical","Loading",2.00,"z_USER_C_plotData","hydrologicRegime","yes","text",30,"n/a","n/a","yes","closed list","What is the hydrologic regime, which is a refelction of frequency and duration of flooding)?","What is the hydrologic regime, which is a refelction of frequency and duration of flooding)?","observation.hydrologicRegime",6381,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"seasonally flooded",,,,,,,0
213,,"logical","Loading",2.00,"z_USER_C_plotData","soilMoistureRegime","yes","text",30,"n/a","n/a","yes","closed list","How moist was the soil at the sampling event?","How moist was the soil at the sampling event?","observation.soilMoistureRegime",6382,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"subxeric",,,,,,,0
214,,"logical","Loading",2.00,"z_USER_C_plotData","soilDrainage","yes","text",30,"n/a","n/a","yes","closed list","How well drained is the site (generally consistent with USDA classes)?","How well drained is the site (generally consistent with USDA classes)?","observation.soilDrainage",6383,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"poorly drained",,,,,,,0
215,,"logical","Loading",2.00,"z_USER_C_plotData","waterSalinity","yes","text",30,"n/a","n/a","yes","closed list","How saline is the water, if a flooded community?","How saline is the water, if a flooded community?","observation.waterSalinity",6384,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"freshwater",,,,,,,0
216,,"logical","Loading",2.00,"z_USER_C_plotData","waterDepth","yes","Double",8,"n/a","n/a","no","n/a","For aquatic or marine vegetation, what was the water depth in m.","For aquatic or marine vegetation, what was the water depth in m.","observation.waterDepth",6385,1,,0,0,-900.00,1/17/2005 16:54:17,1,0,"0.20",,,,,,,0
