"zTable_ID","TableName","foreignName","tblLetter","mod","submodule","TableSummary","TableDescription","TableReqd","TablesInVB","TableAutoGen","tableQuestions","tableExpertise","children","tableNickName","MaxPK","MinImportPK","ImportOrder","LinkedTo","FileLocation","ImportFromTable","NumberOfRecs","UserReq","UserDone","MaxPKOnConnect","MaxPKb4Migr","minPKb4Migr","countRecb4Migr","ExportTbl","ERDX","ERDY","calc_N","calc_E","calc_S","calc_W","ERDtblcolor","ERDLoadColor","origERDx","origERDy","tableIcon","pageDisplay"
121,"Z_USER_H_CommConcept",,"H","Loading",,"This table is very similar to the Species List loading table.  You may match you community codes to real community names, or add new communities to the vegbank module.","To match your community codes to real communities names that would be found in the vegbank module, use commCode for your code and commName for the name that you with to be looked up in the vegbank module.  To add new communities, you must fill in commConceptStatus and reference.  Use commName as the name that will be the basis for the new community.","This table is required only if you have new community concepts to add to VegBank.","commName, commConcept, commStatus (1), commUsage (4-5), and commCorrelation (4).","VegBranch can populate this table from community names in other tables that do not match records in the VegBank module.","Do you have synonymized community concepts (for example, you call it X, but it is now called Y)?
Do you have new community concepts to add to VegBank?","medium/expert",,"Community Concept",,,58.00,,"C:\temp\exampleFile.csv",,0,,0,,0,0,0,,9.00,9.00,18135,26150,25349,24050,0,1,9.00,9.00,,2
1687,"commConcept","commConcept",,"vegbank","commtaxa","This table store the concepts (assertions) that are linked to community names through the commUsage table.",,,,,,,,,,,13.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,7960,132,7823,1,9.67,9.75,19738,28118,21044,26018,3,3,10.80,8.90,,
1688,"commCorrelation","commCorrelation",,"vegbank","commtaxa","This table correlates multiple community concepts as they change through time in the perception of a party",,,,,,,,,,,16.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,10.64,9.75,19738,30914,21255,28814,3,0,11.00,7.60,,
1689,"commLineage","commLineage",,"vegbank","commtaxa","This table stores tracks the lineage of vegetation community concepts.",,,,,,,,,,,18.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,10.17,12.00,24465,29568,25349,27468,3,0,9.00,6.40,,
1690,"commName","commName",,"vegbank","commtaxa","This table stores vegetation community names",,,,,,,,,,,12.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,23062,263,22790,,8.70,9.30,18768,25301,19863,23201,3,3,8.60,8.80,,
1692,"commStatus","commStatus",,"vegbank","commtaxa","This table store the status of a community concept as perceived by a party at a time.",,,,,,,,,,,15.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,7959,131,7823,,10.17,10.70,21722,29568,24083,27468,3,0,10.20,6.70,,
1693,"commUsage","commUsage",,"vegbank","commtaxa","This table links a community name with a concept.",,,,,,,,,,,17.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,22790,1,22790,,9.28,10.60,21511,26979,23450,24879,3,0,9.90,8.20,,
1694,"plantConcept","plantConcept",,"vegbank","planttaxa","This table store the concepts that are linked to plant names through the plantUsage table.",,,,,,,,,,,7.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,92412,193,91958,2,9.00,3.00,5483,26150,6789,24050,2,2,10.80,4.20,,
1695,"plantCorrelation","plantCorrelation",,"vegbank","planttaxa","This table correlates multiple plant concepts as they
change through time.",,,,,,,,,,,9.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,45639,1,45639,,9.00,1.63,2592,26150,4109,24050,2,2,10.95,3.00,,
1696,"plantLineage","plantLineage",,"vegbank","planttaxa","This table stores tracks the lineage of plant taxon concepts.",,,,,,,,,,,11.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,10.14,0.87,997,29464,1881,27364,2,0,9.00,1.50,,
1697,"plantName","plantName",,"vegbank","planttaxa","This table stores plant names",,,,,,,,,,,6.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,315399,385,305165,,8.70,4.00,7585,25280,8680,23180,2,2,8.70,4.00,,
1699,"plantStatus","plantStatus",,"vegbank","planttaxa","This table store the status of a community concept as perceived by a party at a time.",,,,,,,,,,,8.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,92982,192,91958,,10.14,2.01,3390,29464,5751,27364,2,2,10.25,1.30,,
1700,"plantUsage","plantUsage",,"vegbank","planttaxa","This table links a plant name with a concept.",,,,,,,,,,,10.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,305358,1,304814,,9.90,3.40,6319,28760,8258,26660,2,2,9.90,3.40,,
1701,"address","address",,"vegbank","vegplot","This table contains the postal address, email address and/or organizational affiliation for a parties at the time of a plot event.",,,,,,,,,,,5.20,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,2.78,10.04,20336,8129,23119,6029,9,9,0.80,9.00,,
1702,"aux_Role","aux_Role",,"vegbank","vegplot","This table stores valid role codes for use in contributor tables",,,,,,,,,,,0.50,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,55,16,20,,2.60,7.44,14854,7611,16793,5511,9,15,1.80,6.00,,
1703,"reference","reference",,"vegbank","vegplot","This table stores information about references cited within the database",,,,,,,,,,,3.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,34,1,10,3,7.40,9.00,18135,21510,24083,19410,0,0,7.00,8.00,,
1704,"referenceAltIdent","referenceAltIdent",,"vegbank","vegplot","This table stores information about identifiers that can be used to indicate a particular reference.",,,,,,,,,,,4.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,8.22,10.79,21931,23913,23026,21813,0,0,8.00,8.00,,
1705,"referenceContributor","referenceContributor",,"vegbank","vegplot","This table links reference parties with references and shows how a contribution was made by the party.",,,,,,,,,,,5.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,7,1,5,,6.25,10.75,21832,18175,23138,16075,0,0,6.00,8.00,,
1706,"referenceParty","referenceParty",,"vegbank","vegplot","This table stores information about parties that contributed to a reference.",,,,,,,,,,,2.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,11,1,9,,5.35,10.20,20667,15586,23028,13486,0,0,6.00,11.00,,
1707,"referenceJournal","referenceJournal",,"vegbank","vegplot","This table stores information about journals used as part of a reference.",,,,,,,,,,,1.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,219,1,219,,6.25,10.00,20245,18175,21551,16075,0,0,7.00,11.00,,
1708,"classContributor","classContributor",,"vegbank","vegplot","This table stores information about who participated in a classification event","This table serves as an intersection entity used to link a party with a specific plot classification event.",,,,,,,,,,36.50,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,8.50,6.78,13458,24700,14553,22600,9,1,2.00,8.00,,
1709,"commClass","commClass",,"vegbank","vegplot","This table stores general information about classification events where one or more community concepts were applied to a specific Observation by one or more parties.",,,,,,,,,,,35.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,8.50,5.22,10169,24700,12741,22600,1,1,4.00,7.40,,
1710,"commInterpretation","commInterpretation",,"vegbank","vegplot","This table tracks the assignment of specific community concepts to plot observations",,,,,,,,,,,36.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,9.50,5.95,11700,27600,13850,25500,1,1,4.00,9.40,,
1711,"coverIndex","coverIndex",,"vegbank","vegplot","This table stores the definitions of each coverclass unit associated with each coverclass method.",,,,,,,,,,,29.50,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,226,1,211,,6.00,6.35,12561,17450,14289,15350,4,4,5.00,9.60,,
1712,"coverMethod","coverMethod",,"vegbank","vegplot","This table associates a cover scale recognized by the plot data collectors with a set of coverclasses specified in the coverIndex table. This table, together with the coverIndex table, defines a coverclass method.",,,,,,,,,,,29.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,79,1,16,,6.00,5.56,10877,17450,12183,15350,4,4,5.00,8.30,,
1713,"definedValue","definedValue",,"vegbank","vegplot","This table stores the values of user-defined variables.","This table stores values associated with specific user-defined variables identified in the userDefined table.",,,,,,,,,,61.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,1.00,7.00,13915,2950,15010,850,8,13,1.00,7.00,,
1714,"disturbanceObs","disturbanceObs",,"vegbank","vegplot","This table stores plot observation information pertaining to observer estimation of the disturbance history of the plot.","disturbanceObs is  a child of observation; a plot might experience many types of disturbance unique to different observation events.",,,,,,,,,,50.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,4.00,2.24,3888,11650,5616,9550,6,12,4.00,3.00,,
1715,"graphic","graphic",,"vegbank","vegplot","This table stores information about graphical files related to vegetation plot observations","Graphical files can include, among other formats: gif, jpeg, and tif file formats.  Because many graphical files, especially remote sensing digital photographs, may be too large to be stored within the database, a graphicLocation may be given as an alternative. Current Business rules cap graphic size at 5M per plot. Graphics of modest size should be included rather than referenced by external address.",,,,,,,,,,51.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,4.00,0.83,898,11650,2837,9550,6,0,4.00,1.80,,
1716,"namedPlace","namedPlace",,"vegbank","vegplot","This tables stores information about the various `named places` that a plot may have been located within. Such places could include geographic regions, study sites, ownership units, managed units, any placename in the USGS glossary (http://www-nmd.usgs.gov/www/gnis/), or equivalent glossary.",,,,,,,,,,,20.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,61514,1,61514,,1.64,4.84,9364,4814,11303,2714,7,15,3.00,4.80,,
1717,"note","note",,"vegbank","vegplot","This table is where notations associated with table records are stored","All notes associated with plots and plot observations are stored in this table.  These notes can be linked to any table, record and attribute via the noteLink table.",,,,,,,,,,65.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,1.25,9.00,18135,3675,19863,1575,8,4,1.00,9.75,,
1718,"noteLink","noteLink",,"vegbank","vegplot","This table links a note made by a database user or manager to a specific table, record and attribute in the database.","This table was developed with the goal of keeping all the notes associated with the plots in a single table rather than distributed in many tables across  the database.",,,,,,,,,,64.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,1.00,10.00,20245,2950,21340,850,8,4,1.00,9.00,,
1719,"observation","observation",,"vegbank","vegplot","This table stores plot observation results that might vary between official observation events.","Observation is a child of plot in recognition of the fact that a plot may be re-sampled and that some of the environmental
conditions may change between resampling events.
	",,,,,,,,,,30.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,1,1,1,,5.00,0.45,100,14550,15754,12450,6,6,5.00,0.55,,
1720,"observationContributor","observationContributor",,"vegbank","vegplot","This table stores information about which parties contributed to specific plot observation events.","This table serves as an intersection that links a party with a specific plot observation event.  Note that there is no plotContributor table because all contributions take place at a particular observation, such as the first observation.",,,,,,,,,,31.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,5.00,8.95,18044,14550,19350,12450,9,6,2.40,7.10,,
1721,"observationSynonym","observationSynonym",,"vegbank","vegplot","This table stores opinions as to whether one observation record is a synonym of another owing to double entry into the database.",,,,,,,,,,,32.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,4.00,6.04,11910,11650,13849,9550,6,0,4.00,6.05,,
1722,"party","party",,"vegbank","vegplot","Party contributing to collection or interpretation of a plot;  may be either an individual or an organization.",,,,,,,,,,,5.10,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,512,511,2,4,3.40,8.39,16848,9910,19209,7810,9,9,0.92,7.00,,
1723,"place","place",,"vegbank","vegplot","This table is the intersection between the plot table and the namedPlace table and is used for querying for plots located in a named place or named region in which a plot or group of plots is located.",,,,,,,,,,,26.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,1.64,4.09,7776,4814,8871,2714,7,6,3.00,4.00,,
1724,"plot","plot",,"vegbank","vegplot","This table stores general, constant information about the a given plot","plot contains Plot location, dimension, and similarly constant site data, plus metadata that need be stored only once.   Transient observational information (procured during the first or subsequent observation events) are stored separately in observation or its children.",,,,,,,,,,25.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,5,1,4,-1,0.80,1.40,2099,2370,11212,270,7,6,0.80,1.40,,
1725,"project","project",,"vegbank","vegplot","This table stores information about a project established to collect vegetation plot data.","Each plot originates as part of a project. A project can contain from one to many plots.",,,,,,,,,,27.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,1,1,1,,2.78,3.00,5475,8129,6992,6029,6,4,3.00,0.55,,
1726,"projectContributor","projectContributor",,"vegbank","vegplot","This table stores information about a party contributing to a project.","This table serves as an intersection entity used to `link` a party with a specific project wherein vegetation plots are described.",,,,,,,,,,28.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,2.78,5.88,11564,8129,12659,6029,9,4,0.80,0.55,,
1727,"revision","revision",,"vegbank","vegplot","This table constitutes a log of  changes in data deposited in the database.","This table was designed to store as a single, stand-alone table information about attributes in any of the database tables.",,,,,,,,,,70.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,1.00,7.80,15603,2950,17542,850,8,0,1.00,7.80,,
1728,"soilObs","soilObs",,"vegbank","vegplot","This table stores observation on soil horizons made during the plot observation event.","soilObs is child of observation in recognition of the fact that the horizons observed vary among plot observation events as a results of real change plus changes in investigators, methods and circumstances.
	",,,,,,,,,,52.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,4.00,3.52,6580,11650,10207,9550,6,11,4.00,4.00,,
1729,"soilTaxon","soilTaxon",,"vegbank","vegplot","This table stores the valid soilTaxon records that may be used to describe the soil of a plot.",,,,,,,,,,,21.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,34690,1,34599,,2.78,1.10,1466,8129,3194,6029,6,15,4.00,1.00,,
1730,"stemCount","stemCount",,"vegbank","vegplot","This table is intended to store information about the abundance of tree stems of a specific size.",,,,,,,,,,,43.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,5.85,0.69,601,17015,2540,14915,5,10,6.00,1.00,,
1731,"stemLocation","stemLocation",,"vegbank","vegplot","This table is intended to store location information about individual tree stems.",,,,,,,,,,,44.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,6.70,0.69,601,19480,2118,17380,5,10,7.00,1.00,,
1732,"stratum","stratum",,"vegbank","vegplot","This table stores collective information about strata defined within a plot observation.","This table is used to record non-species-specific information about a stratum. Examples include total cover of the stratum and maximum height of the stratum.",,,,,,,,,,41.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,6.00,2.81,5085,17450,6602,15350,5,6,6.00,3.80,,
1734,"stratumMethod","stratumMethod",,"vegbank","vegplot","This table links a set of strata to a sampling protocol . This table, when combined a set of linked stratum occurrences, defines the strata used by a plot observer.",,,,,,,,,,,29.20,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,63,1,4,,6.00,4.71,9084,17450,10601,15350,4,4,6.00,6.00,,
1735,"stratumType","stratumType",,"vegbank","vegplot","This table stores collective information about strata defined within a plot observation.","This table is used to record non-species-specific information about a stratum. Examples include total cover of the stratum and maximum height of the stratum.",,,,,,,,,,29.70,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,667,1,26,,6.00,3.80,7178,17450,8484,15350,4,4,6.00,5.00,,
1736,"taxonInterpretation","taxonInterpretation",,"vegbank","vegplot","This table allows all users, including the author and/or subsequent interpreters, to attach taxon names and authorities to a specific taxon observation",,,,,,,,,,,45.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,6.85,2.72,4885,19915,10200,17815,5,2,7.00,4.00,,
